evaluations raw_y
1 455.2858047128
6 453.5791858107
8 436.7920466334
12 435.5108562639
21 321.0331812752
23 295.4715311208
24 286.9987432867
25 278.0157418851
29 272.1061973638
31 260.3060160115
36 252.0258890432
40 231.2732430024
42 215.8365450685
48 193.9371284883
55 189.0453462897
56 187.5050157183
57 178.0271119798
62 162.4079577276
66 161.5146104474
67 158.1492431541
79 138.7844489183
82 102.5324651903
84 93.9882756464
87 81.9324152003
89 75.4212454323
90 58.3631583127
93 50.6866942300
96 37.3770926593
99 27.7954917633
102 25.6336994342
104 17.6512695130
111 12.7587678139
112 11.1871927486
117 10.7489458386
118 6.3841917694
120 4.3676881905
130 4.2594803468
132 3.7400183958
138 2.4241225116
140 1.6016728731
157 1.5445994425
159 1.3631747413
160 1.1871348600
164 1.0909518241
185 0.7858486203
209 0.7357186572
249 0.6569275479
266 0.4459124824
298 0.3692332537
356 0.3522874890
371 0.2834899134
400 0.4655382181
evaluations raw_y
1 475.9554362340
4 452.9113100831
9 440.5088381535
17 387.8914281645
20 365.4235647354
21 281.1052015793
23 247.7964225031
26 186.6731331823
35 164.6839700232
39 162.9845010784
43 161.7075302109
46 149.5928064688
50 121.5602030422
53 115.4651040958
62 95.1255664204
70 92.4817336435
